0	31
1	32
2	33
3	35
4	38
5	39
6	61
7	62
8	65
9	71
10	77
11	80
12	90
13	94
14	119
15	131
16	133
17	134
18	136
19	154
20	174
21	178
22	185
23	195
24	206
25	219
26	255
27	267
28	270
29	280
30	283
31	304
32	318
33	319
34	328
35	345
36	362
37	363
38	367
39	375
40	381
41	382
42	387
43	404
44	417
45	418
46	780
47	429
48	430
49	432
50	433
51	455
52	457
53	472
54	473
55	474
56	487
57	502
58	511
59	785
60	524
61	525
62	530
63	541
64	548
65	567
66	588
67	593
68	602
69	611
70	618
71	619
72	622
73	624
74	631
75	648
76	655
77	673
78	674
79	675
80	678
81	683
82	691
83	712
84	725
85	734
86	736
87	737
88	787
89	766
90	768
91	770
100092	793
100093	794
100094	796
100095	799
100096	800
100097	803
100098	804
100099	805
100100	806
100101	810
100102	814
100103	815
100104	817
100105	819
100106	822
100107	823
100108	824
100109	827
100110	828
100111	833
100112	834
100113	835
100114	839
100115	840
100116	842
100117	845
100118	847
100119	852
100120	854
100121	855
100122	882
100123	892
100124	894
100125	916
100126	925
100127	934
100128	936
100129	950
100130	955
100131	961
100132	964
100133	967
100134	969
100135	982
100136	983
100137	988
100138	989
100139	991
100140	1006
100141	1013
100142	1017
100143	1030
100144	1034
100145	1036
100146	1048
100147	1051
100148	1052
100149	1060
100150	1064
100151	1067
100152	1072
100153	1073
100154	1080
100155	1082
100156	1083
100157	1085
100158	1088
100159	1091
100160	1101
100161	1099
100162	1112
100163	1113
100164	1114
100165	1126
100166	1127
100167	1159
100168	1164
100169	1172
100170	1178
