5045	514
749	5610
6442	4445
1969	3704
637	5610
3815	4782
5073	355
2722	464
4698	6706
4052	2068
5800	5689
5615	4388
6421	5616
2928	5526
4235	2068
1309	5610
5925	2914
1401	4388
5331	6715
143	6186
6292	464
95	5689
3003	5526
5971	456
449	6715
2367	2930
3663	5610
4800	2722
3287	3396
1929	355
2190	2930
2109	1653
832	456
939	2930
5175	2999
2480	6250
4350	2914
6106	539
6561	1062
5547	4510
1542	3558
236	3849
2532	5237
4521	456
2465	464
782	5478
3773	6535
6654	6643
2404	464
129	5610
3204	2999
5950	4526
5174	5899
6706	0
137	5610
1025	4303
1422	3322
1347	2178
4016	5478
2337	146
3088	2999
616	3287
1920	5735
6162	1893
2816	6186
1957	146
5440	6195
1	2735
726	5689
6494	5610
764	2077
3952	2190
1723	3281
441	2930
3658	464
545	3704
23	5915
5101	2999
2575	2780
498	4526
3818	539
2054	1062
4175	3658
5167	4388
3396	5046
2364	2999
6589	1653
1706	5968
5768	5229
1564	5200
2046	5616
3090	2999
6664	456
4526	1502
6412	5689
4514	5526
4589	4526
6545	2178
2733	5229
4368	5273
5672	2999
194	456
1818	2999
5303	1036
5434	2735
2428	456
4101	5735
1250	514
4964	3306
2833	5273
4220	1389
6495	4526
841	4445
1176	456
3029	888
130	1062
3245	6634
1502	464
1048	2833
4190	1309
4805	464
4925	4706
6609	313
4863	2404
259	456
2168	3322
6450	835
116	3331
4040	355
5027	2999
665	5610
3014	5478
1132	5610
3553	4445
2145	4252
4661	5915
1216	3867
2157	3306
2670	5216
4345	2914
3895	4063
1276	2999
6226	3300
2069	1309
3112	2068
846	0
4600	6186
1039	4175
2545	5257
3757	456
2195	5610
5157	5467
4388	5689
1722	6186
2298	1389
839	456
5735	456
2322	2193
323	2502
540	5616
5243	5259
4890	6715
2210	5303
5229	2993
4929	2780
5963	2722
3136	4303
2259	464
3097	456
4311	2999
2555	2999
4496	456
6045	2428
3477	2404
1467	5733
3439	1036
5379	3658
4094	5610
1395	355
3457	4303
1654	456
5950	6019
6096	464
41	5610
6355	1523
4063	464
1113	4034
3667	5610
6377	5899
346	456
2880	5610
3648	4445
5624	2999
1847	4628
4370	464
2752	1580
76	464
6715	464
719	4526
3689	4585
6695	3704
619	1309
2176	5229
2893	5099
3834	456
5121	464
5171	5610
1399	456
3326	5689
933	835
4380	3396
1160	4526
3912	4063
421	456
3322	3281
0	464
249	456
2859	3322
2653	0
140	2999
1704	464
2987	5407
5460	4526
1389	539
3458	5331
6343	2780
3068	2938
2602	1909
3852	5610
2264	1062
3181	2653
5250	5689
5257	4388
5650	460
1644	511
540	2779
5466	5478
5783	4303
5229	1036
6366	2190
1749	4628
4445	2532
6307	456
2523	2190
6159	5689
5652	1036
5200	5610
3010	464
2534	1036
6341	5915
2539	5303
3555	5610
3476	449
4823	464
6046	2735
72	539
6241	5610
5273	4388
5715	5616
1125	5099
3758	6715
2681	355
4510	4537
543	2190
3573	6142
5500	5968
4340	539
728	2999
146	4526
5478	464
6251	464
3465	5610
5109	6715
5145	464
1341	2930
4501	456
4598	2653
2702	146
5958	934
227	2999
358	4526
4851	2999
2091	3281
1115	3203
1402	5526
992	2190
4518	2068
1981	6195
5697	5689
2432	464
3901	146
584	2930
836	162
5119	4945
4287	1725
5229	6502
1083	0
6423	539
2397	539
1530	464
5117	2178
282	6715
2388	2999
4524	2735
4563	3704
4985	3203
469	4063
5098	146
6304	3331
1725	5689
3866	464
3947	5526
3055	1309
4026	5237
3051	4445
1117	464
4117	6017
5837	4410
2077	6706
4446	6715
5156	464
2068	4303
22	456
4218	1256
1523	5616
5964	165
1975	4526
4710	2999
1735	6195
456	1502
1531	6250
2889	5610
5457	165
3604	3281
2837	146
5119	6502
1674	1062
2999	4526
5230	456
934	464
987	5915
5165	3306
5059	2914
2890	3604
5148	5478
1784	4526
1484	4526
2262	5229
3120	2999
3266	1530
4706	4063
5698	1036
1890	2068
4782	3331
5046	464
